                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1286,                0.94781,                 1.1291,                0.82541,                0.71971,                0.79126,                0.65301,                 1.1089,                0.96488,                 1.1132,               0.005446,               0.005446,               0.005446
                     48,                 1.1199,                0.94103,                 1.1257,                0.81323,                 0.7119,                0.78654,                0.64864,                 1.1082,                0.96825,                 1.1135,               0.005347,               0.005347,               0.005347
                     49,                 1.1161,                0.93332,                 1.1238,                0.77998,                0.74366,                0.79209,                0.65675,                 1.1096,                0.97697,                 1.1139,               0.005248,               0.005248,               0.005248
                     50,                 1.1061,                0.92466,                  1.119,                0.78371,                0.73876,                0.79301,                0.65594,                 1.1016,                0.97052,                 1.1083,               0.005149,               0.005149,               0.005149
                     51,                 1.1105,                0.92179,                  1.119,                0.79969,                0.73116,                  0.792,                0.65596,                 1.1031,                0.96502,                 1.1132,                0.00505,                0.00505,                0.00505
                     52,                 1.1085,                0.91628,                  1.119,                0.80477,                0.71999,                 0.7839,                0.65042,                 1.0989,                0.96556,                 1.1076,               0.004951,               0.004951,               0.004951
                     53,                 1.1038,                0.92024,                  1.116,                0.77573,                0.74573,                0.78761,                0.65343,                 1.1039,                0.96442,                 1.1137,               0.004852,               0.004852,               0.004852
                     54,                 1.1005,                0.91048,                  1.112,                0.77419,                0.73784,                0.78637,                0.65224,                 1.1039,                0.96235,                 1.1131,               0.004753,               0.004753,               0.004753
                     55,                 1.0956,                0.90138,                 1.1126,                0.80235,                0.74089,                0.79116,                 0.6586,                 1.1041,                0.95828,                 1.1129,               0.004654,               0.004654,               0.004654
                     56,                 1.0938,                  0.901,                 1.1102,                 0.7931,                0.74043,                0.79461,                0.66061,                 1.0998,                0.95778,                 1.1082,               0.004555,               0.004555,               0.004555
                     57,                 1.0866,                0.89129,                 1.1054,                0.78349,                0.75056,                0.79737,                0.66024,                 1.1027,                0.96151,                 1.1129,               0.004456,               0.004456,               0.004456
                     58,                 1.0872,                0.88984,                 1.1078,                 0.7953,                0.74418,                0.79284,                0.65646,                 1.1045,                0.95875,                 1.1125,               0.004357,               0.004357,               0.004357
                     59,                 1.0795,                0.88894,                 1.1045,                0.79909,                0.73514,                0.79243,                0.65529,                 1.1032,                 0.9599,                 1.1108,               0.004258,               0.004258,               0.004258
                     60,                 1.0782,                0.87379,                 1.1018,                0.79736,                0.74196,                0.79001,                0.65692,                  1.101,                0.96018,                 1.1076,               0.004159,               0.004159,               0.004159
                     61,                 1.0745,                0.87109,                 1.1019,                 0.7652,                0.76338,                0.79099,                 0.6597,                 1.0994,                 0.9621,                 1.1078,                0.00406,                0.00406,                0.00406
                     62,                 1.0708,                 0.8685,                 1.1001,                0.79811,                0.73465,                0.78849,                0.65599,                 1.1027,                0.95883,                 1.1121,               0.003961,               0.003961,               0.003961
                     63,                 1.0662,                0.86123,                 1.0943,                0.80234,                0.73456,                0.79248,                0.65958,                 1.1022,                0.95916,                 1.1124,               0.003862,               0.003862,               0.003862
                     64,                 1.0654,                0.85975,                 1.0954,                0.80978,                0.72461,                0.79465,                0.66412,                 1.0984,                0.95657,                 1.1099,               0.003763,               0.003763,               0.003763
                     65,                 1.0585,                0.84587,                 1.0904,                0.78629,                0.73722,                0.79582,                0.66486,                 1.0968,                0.95756,                 1.1089,               0.003664,               0.003664,               0.003664
                     66,                 1.0566,                0.84695,                 1.0917,                0.81316,                0.73647,                0.79315,                0.66365,                 1.0964,                0.96136,                 1.1085,               0.003565,               0.003565,               0.003565
                     67,                 1.0529,                0.83848,                 1.0872,                  0.805,                0.74122,                0.79284,                0.66072,                 1.0946,                0.95957,                 1.1072,               0.003466,               0.003466,               0.003466
                     68,                 1.0556,                0.83973,                 1.0883,                0.81195,                0.73854,                0.79428,                0.65891,                 1.0966,                0.96119,                 1.1095,               0.003367,               0.003367,               0.003367
                     69,                 1.0414,                0.82256,                 1.0826,                0.81564,                0.74171,                0.79691,                0.66186,                 1.0989,                0.96253,                 1.1109,               0.003268,               0.003268,               0.003268
                     70,                 1.0447,                0.83164,                 1.0845,                  0.811,                0.74435,                0.80179,                0.66556,                 1.0993,                0.96324,                 1.1122,               0.003169,               0.003169,               0.003169
