epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2168.81,0.9017,0.6805,0.97326,0.81451,0.69383,0.78214,0.64169,0.98751,0.74096,1.01218,6.34442e-05,6.34442e-05,6.34442e-05
60,2204.84,0.89543,0.66926,0.97229,0.80933,0.67779,0.77475,0.63018,0.99624,0.75717,1.0135,6.19691e-05,6.19691e-05,6.19691e-05
61,2241.55,0.9006,0.67192,0.97329,0.7709,0.70446,0.78058,0.64194,0.97919,0.73679,1.01097,6.0494e-05,6.0494e-05,6.0494e-05
62,2278.24,0.89195,0.66976,0.97069,0.80169,0.68807,0.78464,0.63916,0.97748,0.73431,1.01245,5.90189e-05,5.90189e-05,5.90189e-05
63,2313.87,0.89121,0.66116,0.96762,0.7751,0.71128,0.78753,0.64404,0.98464,0.73655,1.01019,5.75438e-05,5.75438e-05,5.75438e-05
64,2350.22,0.88751,0.65455,0.96743,0.77994,0.68761,0.78142,0.64061,0.98575,0.73816,1.01106,5.60687e-05,5.60687e-05,5.60687e-05
65,2386.98,0.89506,0.65981,0.97082,0.80893,0.68317,0.7882,0.64575,0.99084,0.73281,1.01567,5.45936e-05,5.45936e-05,5.45936e-05
66,2424.76,0.89439,0.65909,0.96624,0.72772,0.7523,0.78133,0.64261,0.97603,0.73134,1.0084,5.31185e-05,5.31185e-05,5.31185e-05
67,2461.39,0.89381,0.65707,0.96669,0.83722,0.68249,0.78239,0.64214,0.98325,0.73131,1.00931,5.16434e-05,5.16434e-05,5.16434e-05
68,2497.21,0.8928,0.65294,0.96754,0.81931,0.67322,0.78852,0.64756,0.97811,0.73197,1.00691,5.01683e-05,5.01683e-05,5.01683e-05
69,2533.73,0.88864,0.65037,0.96549,0.77942,0.71562,0.79012,0.64808,0.98361,0.72964,1.01359,4.86932e-05,4.86932e-05,4.86932e-05
70,2571.12,0.88176,0.64448,0.96434,0.7726,0.7045,0.77616,0.63614,0.98375,0.73036,1.01623,4.72181e-05,4.72181e-05,4.72181e-05
71,2608.26,0.88046,0.64141,0.96099,0.80453,0.70152,0.79219,0.65095,0.98679,0.71908,1.01508,4.5743e-05,4.5743e-05,4.5743e-05
72,2645.68,0.88229,0.64753,0.96238,0.75969,0.72001,0.78728,0.64441,0.98607,0.7293,1.01596,4.42679e-05,4.42679e-05,4.42679e-05
73,2682.11,0.87078,0.64319,0.9631,0.8251,0.68448,0.78444,0.64371,0.9798,0.72226,1.01577,4.27928e-05,4.27928e-05,4.27928e-05
74,2719.88,0.87433,0.64042,0.96155,0.77329,0.69992,0.78375,0.64402,0.97206,0.72529,1.00993,4.13177e-05,4.13177e-05,4.13177e-05
75,2757.97,0.87426,0.63927,0.96032,0.77545,0.70889,0.78295,0.64606,0.97502,0.72491,1.01172,3.98426e-05,3.98426e-05,3.98426e-05
76,2794.63,0.87837,0.63656,0.96248,0.7757,0.70556,0.78217,0.64532,0.9808,0.72955,1.01464,3.83675e-05,3.83675e-05,3.83675e-05
